id,us,data,note
1,,24/1/2020,"sezione 1 (prima evidenza rinvenuta: probabili resti diuro a secco, con drenaggio e terra scusa)"
2,sez 1,29/1/2020,rifatta sezione 1
3,da 5 a 8,29/1/2020,
4,"10, 11, 13",30/1/2020,"Area settentrionale dello scavo: evidenza 2, solo 3d"
5,"10, 14, 15, 16",30/1/2020,"Area 3, sezione est (sezione2), solo3d"
6,,31/1/2020,area 3 sez nord
7,,05/02/2020,evidenza3
8,"10, 33 a 39. ",2020-02-11,evidenza 5
9,41,2020-02-02,
10,43,2020-02-13,solo 3d
11,"17,19,42,-43",2020-2-14,evidenza 3
12,"sez 19, 17",14/02/2020,sez
13,US 21 e 20,14/02/2020,piano
