scavo, data, ore, operatore
11, 08/01/2020, 2, 3
11, 09/01/2020, 4, 3
11, 10/01/2020, 8, 3
11, 13/01/2020, 4, 3
11, 14/01/2020, 6, 3
11, 15/01/2020, 8, 3
11, 16/01/2020, 8, 3
11, 17/01/2020, 8, 3
11, 17/01/2020, 8, 1
11, 17/01/2020, 4, 2
11, 20/01/2020, 1, 3
11, 22/01/2020, 1, 3
11, 24/01/2020, 5, 4
11, 24/01/2020, 8, 2
11, 24/01/2020, 8, 3
11, 27/01/2020, 8, 3
11, 27/01/2020, 8, 2
11, 28/01/2020, 8, 3
11, 28/01/2020, 8, 2
11, 29/01/2020, 8, 2
11, 29/01/2020, 8, 1
11, 30/01/2020, 8, 1
11, 30/01/2020, 8, 4
11, 31/01/2020, 8, 2
11, 31/01/2020, 8, 1
11, 03/02/2020, 8, 2
11, 03/02/2020, 8, 4
11, 04/02/2020, 8, 2
11, 04/02/2020, 8, 4
11, 05/02/2020, 8, 3
11, 05/02/2020, 6, 4
11, 06/02/2020, 8, 3
11, 06/02/2020, 8, 1
11, 06/02/2020, 8, 2
11, 06/02/2020, 8, 4
11, 07/02/2020, 8, 1
11, 07/02/2020, 8, 2
11, 07/02/2020, 8, 4
11, 10/02/2020, 8, 2
11, 10/02/2020, 8, 4
11, 11/02/2020, 8, 3
11, 11/02/2020, 8, 1
11, 11/02/2020, 8, 4
11, 12/02/2020, 8, 2
11, 12/02/2020, 8, 4
11, 13/02/2020, 8, 4
11, 13/02/2020, 8, 2
11, 14/02/2020, 8, 4
11, 14/02/2020, 8, 2
